Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
VRSN,VeriSign Inc. Common Stock,$202.46,3.75,1.887%,23102683875.00,United States,1998,538423,Technology,EDP Services
VRTX,Vertex Pharmaceuticals Incorporated Common Stock,$217.33,-14.44,-6.23%,56514035503.00,United States,1991,6286432,Health Care,Major Pharmaceuticals
VTRS,Viatris Inc. Common Stock,$17.38,-0.065,-0.373%,20894308266.00,United States,,9191000,Health Care,Major Pharmaceuticals
WBA,Walgreens Boots Alliance Inc. Common Stock,$48.44,-0.39,-0.799%,41854176799.00,United States,,5512177,Health Care,Medical/Nursing Services
WDAY,Workday Inc. Class A Common Stock,$257.76,21.07,8.902%,61862400000.00,United States,,5623515,Technology,EDP Services
WDC,Western Digital Corporation Common Stock,$57.91,0.32,0.556%,17618830556.00,United States,,4024538,Technology,Electronic Components
WISH,ContextLogic Inc. Class A Common Stock,$29.15,-2.04,-6.541%,20283770135.00,United States,2020,4307548,Consumer Services,Catalog/Specialty Distribution
WMG,Warner Music Group Corp. Class A Common Stock,$37.97,2.47,6.958%,19529951895.00,United States,2020,1887402,Consumer Services,Services-Misc. Amusement & Recreation
WYNN,Wynn Resorts Limited Common stock,$106.10,4.34,4.265%,11445070872.00,United States,2002,2438003,Consumer Services,Hotels/Resorts
XEL,Xcel Energy Inc. Common Stock,$64.20,0.26,0.407%,34494838027.00,United States,,2002393,Public Utilities,Power Generation
XLNX,Xilinx Inc. Common Stock,$137.31,2.00,1.478%,33678984870.00,United States,1990,4443824,Technology,Semiconductors
XM,Qualtrics International Inc. Class A Common Stock,$51.25,2.25,4.592%,25798463928.00,United States,2021,2919756,Technology,Computer Software: Prepackaged Software
XRAY,DENTSPLY SIRONA Inc. Common Stock,$54.56,0.64,1.187%,11924374931.00,United States,1987,1245462,Health Care,Medical/Dental Instruments
Z,Zillow Group Inc. Class C Capital Stock,$144.86,7.81,5.699%,33704979056.00,United States,,3247191,Miscellaneous,Business Services
ZBRA,Zebra Technologies Corporation Class A Common Stock,$405.19,7.86,1.978%,21603274547.00,United States,1991,263377,Technology,Industrial Machinery/Components
ZG,Zillow Group Inc. Class A Common Stock,$153.39,7.06,4.825%,35689677878.00,United States,2011,405875,Miscellaneous,Business Services
ZI,ZoomInfo Technologies Inc. Class A Common Stock,$51.09,0.87,1.732%,19889899807.00,United States,2020,4291372,Technology,Computer Software: Prepackaged Software
ZM,Zoom Video Communications Inc. Class A Common Stock,$391.84,9.91,2.595%,114373944455.00,United States,2019,3772626,Technology,Computer Software: Programming Data Processing
ZNGA,Zynga Inc. Class A Common Stock,$10.33,0.19,1.874%,11146062790.00,United States,2011,16958177,Technology,EDP Services
ZS,Zscaler Inc. Common Stock,$216.71,12.24,5.986%,29080717981.00,United States,2018,1891720,Technology,EDP Services
